Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
Kill la Kill Specials,Special,2,Finished Airing,2014-9-3,-,-,-,"Aniplex,Kadokawa Shoten",Aniplex of America,Trigger,Original,"Action,Comedy,Super Power,School",18 min. per ep.,R,7.8,65780,109987,186,"Two specials released September 3rd, 2014, in the final volume of the Blu-ray/DVD releases."
Kuroko no Basket NG-shuu,Special,9,Finished Airing,2012-7-27,2013-3-22,-,-,-,-,Production I.G,-,"Comedy,School,Shounen,Sports",4 min. per ep.,PG-13,7.8,21376,39668,64,"Animated bloopers, based on the extra section of the original manga series, included with the BD/DVD series for Kuroko no Basket (both limited and normal editions)."
Kuroko no Basket: Mou Ikkai Yarimasen ka,Special,1,Finished Airing,2014-6-20,-,-,-,-,-,Production I.G,Manga,"Comedy,School,Shounen,Sports",24 min.,PG-13,7.8,13497,26491,24,"Bundled with the 6 Blu-ray/DVD. It will adapt the 124th chapter of the manga, which depicts when Kuroko and Aomine first met."
One Piece: Episode of Luffy - Hand Island no Bouken,Special,1,Finished Airing,2012-12-15,-,-,-,-,-,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Fantasy,Shounen",1 hr. 42 min.,PG-13,7.8,15543,27698,23,"The story of the Hand Island no Bouken special is set a little before the events of One Piece Film Z and depicts a major ""Hand Island"" incident during the New World storyline. The story is set at ""Cannon Town"" where a parent and a child work as craftspeople. The incident revolves around them and a commodore of a marine base. The special will also have a flashback scene to the story in the first chapter of the manga, but with new animation. 

(Source: ANN) "
Owari no Seraph: Nagoya Kessen-hen,TV,12,Finished Airing,2015-10-10,2015-12-26,Fall,Saturdays at 22:00 (JST),"NBCUniversal Entertainment Japan,Shueisha",Funimation,Wit Studio,Manga,"Action,Military,Supernatural,Drama,Vampire,Shounen",23 min. per ep.,R,7.8,176465,302074,1760,"Yuuichirou Hyakuya is finally reunited with his childhood friend Mikaela Hyakuya, whom he had long presumed to be dead. Upon their reunion, however, he discovers that Mikaela has been turned into a vampire. Determined to help his friend, Yuuichirou vows to get stronger so that he can protect Mikaela as well as the comrades in the Moon Demon Company.

Kureto Hiiragi receives information that a large group of vampires will be gathering in Nagoya, preparing for their assault on the Imperial Demon Army's main forces in Tokyo. Led by Guren Ichinose, Yuuichirou's team is one of many selected to intercept and eliminate the vampire nobles.

With the Nagoya mission quickly approaching, the members of Shinoa squad continue to work towards fully mastering their weapons, while learning how to improve their teamwork. Yuuichirou must gain the power he needs to slay the nobles and save his best friend, before he succumbs to the demon of the Cursed Gear.

[Written by MAL Rewrite]"
Pokemon XY&Z,TV,47,Finished Airing,2015-10-29,2016-10-27,Fall,Thursdays at 18:55 (JST),-,The Pokemon Company International,OLM,Game,"Action,Adventure,Comedy,Kids,Fantasy",23 min. per ep.,PG,7.8,15824,30675,355,"The journey of Satoshi and his friends through the Kalos region continues! After Satoshi obtains his seventh gym badge, the group is moving toward the next town when Eureka discovers a mysterious Pokemon resting in her pochette. Soon given the name Puni-chan, it is one that even Satoshi and Serena's new Pokemon Zukan cannot identify. However, it quickly becomes apparent that Puni-chan is the target of a mysterious group clad in bright red suits known as Team Flare, aiming to capture the new Pokemon to further their agenda. But when Satoshi and the gang realize that the enigmatic organization has no intention of treating Puni-chan with any decency, they take a stand in opposition to Team Flare's plans, daring to fight back.

With Gojika's predictions looming above them, Satoshi aims for his final gym badge while Serena contests for her last Princess Key in order to be able to compete at the TriPokalon Master Class. But as Team Flare begins to move in search of the mysterious Z, the stories of Pokemon XY and Pokemon XY: Mega Evolution cross paths as Satoshi and his friends, along with Team Rocket, get caught up in a scheme that could put Kalos in great danger.

[Written by MAL Rewrite]"
Romeo x Juliet,TV,24,Finished Airing,2007-4-5,2007-9-26,Spring,-,"GDH,Kadokawa Shoten,CBC,SKY Perfect Well Think,Happinet Pictures,Sotsu Music Publishing",Funimation,Gonzo,Book,"Drama,Fantasy,Historical,Romance",24 min. per ep.,PG-13,7.8,47936,115047,1127,"On the floating continent of Neo Verona, the Montague family slaughters the entire Capulet family and seizes control of the kingdom. The true heir to the throne, Juliet Fiammata Asto Capulet, manages to escape the onslaught and is hidden away by loyalists for 14 years with hope that she may one day overthrow the cruel Montague regime. 

Despite having forgotten the murder of her entire family, Juliet now secretly protects the oppressed citizens of Neo Verona as a vigilante called the Red Whirlwind. During one of her escapades she meets Romeo Candorebanto Montague, the kind and selfless son of the tyrannical Prince Laertes Montague, and without knowledge of each other's background, they both fall in love at first sight. 

Unfortunately, however, their destiny is a cursed one: not only does each of the two families wish to obliterate the other, but an ancient secret hidden beneath Neo Verona also threatens their undying love for each other. Will they be able to defy the stars, or is this truly a love that can never be?

[Written by MAL Rewrite]"
Rozen Maiden: Ouvertüre,Special,2,Finished Airing,2006-12-23,2006-12-24,-,-,Mellow Head,Sentai Filmworks,Nomad,Manga,"Action,Comedy,Drama,Magic,Seinen",24 min. per ep.,PG-13,7.8,28655,48583,230,"As Jun Sakurada fights and lives alongside the Rozen Maidens, special lifelike dolls made to battle each other, he enjoys a rare break in which he is told a story during the events of Rozen Maiden: Träumend. 

When Jun buys a brooch as a present for Shinku, the fifth doll, she refuses to accept it at any cost. Souseiseki, the fourth doll, then recounts the story of how Shinku and the first doll, Suigintou, first met. This tale tells of the cruel and heartbreaking circumstances surrounding Suigintou's birth, and how the many misunderstandings between her and Shinku shaped their longstanding rivalry fueled by Suigintou's unfettered hate towards Shinku.

The stage is set in Rozen Maiden: Ouvertüre in 19th century London as the story delves into the past of these one-time friends and the secrets that they hold.

[Written by MAL Rewrite]"
Shigatsu wa Kimi no Uso: Moments,OVA,1,Finished Airing,2015-5-15,-,-,-,-,-,A-1 Pictures,Manga,"Music,Shounen",23 min.,PG-13,7.8,32401,57669,119,"OVA bundled with the 11th Shigatsu wa Kimi no Uso manga volume.

The OVA will focus on Kousei, Emi, and Takeshi when they were younger, showing their troubles during their competitions and the beginning of their rivalry.

(Source: Shigatsu wa Kimi no Uso Wikia)"
Soredemo Sekai wa Utsukushii,TV,12,Finished Airing,2014-4-6,2014-6-29,Spring,-,"VAP,Hakusensha,Nippon Television Network",Sentai Filmworks,Studio Pierrot,Manga,"Adventure,Romance,Fantasy,Shoujo",22 min. per ep.,PG-13,7.8,68791,144490,1273,"In the Sun Kingdom, sunshine is part of its citizens' everyday lives, and rain is something that they have never even heard of. However, in a faraway land called the Rain Dukedom, the weather is reversed, and everybody has the power to create rain with their voices.

Livius Ifrikia has conquered the entire world and expanded the Sun Kingdom's influence in the three short years since he was crowned king. Upon learning about the powers to create rain, Livius decides to marry Nike Remercier, one of the princesses of the Rain Dukedom. However, those outside the Sun Kingdom have spread a rumor that Livius is a cruel, ruthless, and tyrannical ruler, and as word reaches the princess, she begins to prepare herself for the worst. But when she finally meets her fiancé, Nike discovers that he is an entirely different person from what she originally expected.

[Written by MAL Rewrite]"
Aikatsu Stars!,TV,100,Finished Airing,2016-4-7,2018-3-29,Spring,Thursdays at 18:25 (JST),TV Tokyo,-,Bandai Namco Pictures,Original,"Music,Slice of Life,School,Shoujo",24 min. per ep.,PG,7.79,1226,8722,148,"Yume Nijino has been accepted into Four Stars academy, home of the beautiful and talented S4 idol group. She and the other newcomers are determined to discover their talent, with a choice of specializing in beauty, singing, dancing, or drama. A tough road lies ahead of them, and they must rely on each other to overcome their weaknesses and develop their unique strengths.

At the first-years' opening performances, Yume performs stellarly but faints and is unable to remember being on stage at all. Struggling to find her talent, she meets Rola ""Laura"" Sakuraba and the two develop a friendly rivalry, working together to learn and improve.

Though they have their differences, all the students share the same goal: to become the next S4 idol. But hard work and determination, along with teamwork, are needed if they want to join the elite S4.

[Written by MAL Rewrite]"
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1,Finished Airing,2016-1-5,-,-,-,-,-,Bones,Manga,"Drama,Fantasy,Romance,Shoujo",24 min.,PG-13,7.79,16706,33741,89,"Bundled with the limited edition 15th volume of the manga.

Chapters adapted
1. Volume 10, Chapter 41: Shirayuki to Zen, Hajimete no Joukamachi Date (白雪とゼン、はじめての城下町デート)
2. Volume 7, Special Chapter: Raji Ouji Youshou no Migiri (ラジ王子幼少のみぎり)
3. Volume 11, Special Chapter: Hajimari no Zen & Mitsuhide & Kiki (始まりのゼン＆ミツヒデ＆木々)"
Chibi Maruko-chan,TV,142,Finished Airing,1990-1-7,1992-9-27,Winter,-,Fuji TV,-,Nippon Animation,Manga,"Comedy,Slice of Life,Shoujo",23 min. per ep.,G,7.79,2441,6133,62,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. 

(Source: ANN)"
Hetalia World Series Specials,Special,4,Finished Airing,2011-3-25,2012-9-24,-,-,Frontier Works,Funimation,Studio Deen,Web manga,"Comedy,Historical,Parody",5 min. per ep.,PG-13,7.79,8039,17082,59,"Extra episodes of Hetalia World Series. 

Includes:
- Hetalia Extra 1: Chatty Nordics
- Hetalia Extra 2: Celebrating Halloween
- Hetalia Extra 3: Previously in Hetalia
- Hetalia Extra 4: Hetalia Fantasia"
Hidamari Sketch x 365 Specials,Special,3,Finished Airing,2009-3-25,2009-10-24,-,-,Lantis,Sentai Filmworks,Shaft,4-koma manga,"Slice of Life,Comedy,School,Seinen",24 min. per ep.,PG-13,7.79,6332,12115,9,Special episodes of Hidamari Sketch x 365.
Hourou Musuko,TV,11,Finished Airing,2011-1-14,2011-4-1,Winter,Fridays at 01:15 (JST),"Aniplex,AIC,Dentsu,Fuji TV,Magic Capsule,Enterbrain,Fuji Pacific Music Publishing",-,AIC Classic,Manga,"Slice of Life,Drama,Romance,School",23 min. per ep.,PG-13,7.79,24442,71133,710,"Effeminate fifth grader Shuuichi Nitori is considered by most to be one of the prettiest girls in school, but much to her dismay, she is actually biologically male. Fortunately, Shuuichi has a childhood friend who has similar feelings of discomfort related to gender identity: the lanky tomboy Yoshino Takatsuki, who, though biologically female, does not identify as a girl. These two friends share a similar secret and find solace in one another; however, their lives become even more complicated when they must tread the unfamiliar waters of a new school, attempt to make new friends, and struggle to maintain old ones. Faced with nearly insurmountable odds, they must learn to deal with the harsh realities of growing up, transexuality, relationships, and acceptance.

Lauded as a decidedly serious take on gender identity and LGBT struggles, Takako Shimura's Hourou Musuko is about Shuuichi and Yoshino's attempts to discover their true selves as they enter puberty, make friends, fall in love, and face some very real and difficult choices.

[Written by MAL Rewrite]"
Ichigo Mashimaro OVA,OVA,3,Finished Airing,2007-2-23,2007-4-25,-,-,-,Sentai Filmworks,Daume,4-koma manga,"Comedy,School,Slice of Life",25 min. per ep.,PG-13,7.79,9721,16733,20,"Based on Barasui's manga series, Ichigo Mashimaro follows the life of Nobue Itou, her younger sister Chika, and her friends. The basic premise of the show can be summed up in ""cute girls do cute things in cute ways"", be it trying to quit smoking, going outside to play, celebrating a holiday, or doing school work. This OVA picks up where the series left off, continuing the adventures of your everyday life, only cuter. 

(Source: AniDB)"
JoJo no Kimyou na Bouken: Phantom Blood,Movie,1,Finished Airing,2007-2-17,-,-,-,Bandai,-,APPP,Manga,"Action,Adventure,Horror,Shounen,Vampire",1 hr. 30 min.,R,7.79,4262,14883,241,"An adaptation of the original five volume arc of the popular JoJo's Bizarre Adventure manga, covering the Phantom Blood chapters. Jonathan Joestar is an aristocratic boy whose life is suddenly turned upside down by a mysterious new boy who arrives, Dio Brando. Dio has a connection to his father, and over time, a rivalry forms as Dio becomes obsessed with a mysterious, ancient, and mystical stone mask that Jonathan's father keeps. "
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,Movie,1,Finished Airing,2007-4-21,-,-,-,-,-,Shaft,Light novel,"Adventure,Drama,Fantasy",28 min.,R,7.79,14857,31003,21,"Kino travels to a country divided into two parts: the very clean and peaceful city, closed off from the surrounding wastelands. Kino meets a little girl in the city suffering from a disease which is constantly being researched. The girl, however, does not know just how the research is being done.

(Source: ANN) "
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),TV,373,Finished Airing,1996-6-16,2004-12-19,Summer,Sundays at 19:00 (JST),"Asatsu DK,Fuji TV",-,Studio Gallop,Manga,"Slice of Life,Comedy,Police",25 min. per ep.,PG-13,7.79,1949,6715,81,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief."
Love Live! Sunshine!! 2nd Season,TV,13,Finished Airing,2017-10-7,2017-12-30,Fall,Saturdays at 22:30 (JST),"Bandai Visual,Lantis,ASCII Media Works,Bushiroad",Funimation,Sunrise,Original,"Music,School,Slice of Life",23 min. per ep.,PG-13,7.79,16656,43417,748,"Having decided to walk down a path separate from their inspirations as idols, the girls of Aqours are more determined than ever to shine brilliantly as school idols. With their previous performance marginally increasing the number of prospective students for their endangered school, they look to carry the momentum of their small step forward into the school's upcoming open house and the next Love Live competition. Hoping to use these events to bring more attention to their school, the nine girls look to give their best performances yet.

Unfortunately, these small steps forward are not enough to convince Mari Ohara's father from changing his plans. Undeterred by Mari's pleas for reconsideration, the decision to close down the school is made official, putting an end to Uranohoshi Girls' High School's student recruitment, including the open house. Though all hope seems to be lost, the school idols refuse to give up. Faced with impossible odds, Aqours sings, dances, and shines in the hopes of bringing about a miracle.

[Written by MAL Rewrite]"
Macross Plus,OVA,4,Finished Airing,1994-8-25,1995-6-25,-,-,Studio Nue,-,Triangle Staff,Original,"Drama,Mecha,Military,Romance,Sci-Fi,Space",39 min. per ep.,R,7.79,14665,27872,294,"The year is 2040 and the galaxy is flourishing with several colonies and advanced technology. AI is near perfection and the current top idol is the near-completed Virturoid Idol Sharon Apple. All that is missing are her actual feelings, which instead are supplied by Myung Fang Lone. Sharon's debut concert is on planet Eden, where at the same time, fighter pilots Isamu Dyson and Guld Bowman battle over air superiority for the ""Supernova Project."" Isamu, Guld and Myung were once childhood friends, but after an accident seven years ago, they went their own separate ways. With Myung back in the picture, the old disputes are once again awakened. And when an unstable and illegal AI technique is installed in Sharon, the situation is worsened. 

(Source: ANN)"
Macross Plus Movie Edition,Movie,1,Finished Airing,1995-10-7,-,-,-,Studio Nue,Manga Entertainment,Triangle Staff,Original,"Action,Adventure,Mecha,Military,Romance,Sci-Fi,Space",1 hr. 55 min.,PG-13,7.79,5301,9952,48,"A.D. 2040—Thirty years have passed since the battle between the Earth and Zentraedi forces changed the lives of both races. On planet Eden, a top-secret project known as ""Supernova"" is being held to determine U.N. Spacy's next-generation variable fighter. Competing to win the funding are Shinsei Industries' YF-19 and General Galaxy's YF-21. Piloting the YF-21 is Guld Goa Bowman, a half-human, half-Zentraedi. Shinsei receives its new test pilot in the form of the unruly fighter pilot Isamu Dyson, who was once a friend of Guld. Meanwhile, as Isamu and Guld furiously battle to see which of their fighters is superior, a Virturoid Idol named Sharon Apple is to perform her debut concert on Eden. In charge of Sharon is producer Myung Fang Lone, another former friend of Isamu and Guld. When the three meet each other, old disputes spark from a troubled past. Little do they know that their past incidents—along with the Supernova Project and Sharon Apple—will somehow bring them together.

(Source: ANN)"
Maria-sama ga Miteru: Haru,TV,13,Finished Airing,2004-7-4,2004-9-26,Summer,-,-,Nozomi Entertainment,Studio Deen,Light novel,"Drama,Romance,School,Shoujo,Shoujo Ai",24 min. per ep.,PG-13,7.79,8776,17377,63,"The spring term is beginning for the students at Lillian Girls' Academy. Friends are reunited, but for the Yamayuri Council, it's a bittersweet time. Yoko, Eriko, and Sei are busy preparing to depart Lillian while Sachiko, Rei, and Shimako are doing their best to ensure that their dear sisters receive a memorable commencement.

Sei's departure will leave a sizable hole in the White Roses, and filling it won't be easy. But is there anyone who could appeal to Shimako enough to become the next Rosa Gigantea en bouton?

(Source: RightStuf)"
Mitsudomoe Zouryouchuu!,TV,8,Finished Airing,2011-1-9,2011-2-27,Winter,-,"Lantis,Cospa,Studio Mausu",-,Bridge,-,"Slice of Life,Comedy,School",24 min. per ep.,PG-13,7.79,18517,31214,73,Second season of Mitsudomoe.
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,TV,10,Finished Airing,2013-1-12,2013-3-16,Winter,Saturdays at 01:30 (JST),"Kadokawa Shoten,Nippon Columbia,flying DOG,Project No Name",Sentai Filmworks,Diomedea,Light novel,"Action,Comedy,Fantasy,Supernatural",23 min. per ep.,PG-13,7.79,167244,305534,3208,"Izayoi Sakamaki, Asuka Kudou, and You Kasukabe are extraordinary teenagers who are blessed with psychic powers but completely fed up with their disproportionately mundane lives—until, unexpectedly, each of them receives a strange envelope containing an invitation to a mysterious place known as Little Garden. 

Inexplicably dropped into a vast new world, the trio is greeted by Kurousagi, who explains that they have been given a once-in-a-lifetime chance to participate in special high-stakes games using their abilities. In order to take part, however, they must first join a community. Learning that Kurousagi's community ""No Names"" has lost its official status and bountiful land due to their defeat at the hands of a demon lord, the group sets off to help reclaim their new home's dignity, eager to protect its residents and explore the excitement that Little Garden has to offer.

[Written by MAL Rewrite]"
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,Special,1,Finished Airing,2015-8-22,-,-,-,Fuji TV,Funimation,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",1 hr. 46 min.,PG-13,7.79,10240,17900,14,"The special will revisit the childhood past of the three sworn brothers Luffy, Ace, and Sabo, when they all dreamed of becoming pirates. In addition, it will depict how Sabo originally came into the kingdom of Dressrosa (which was not depicted in Eiichiro Oda's original manga or the television anime), as well as his reunion with Luffy from his point of view."
Seikai no Monshou,TV,13,Finished Airing,1999-1-3,1999-3-28,Winter,-,"Bandai Visual,WOWOW,BeSTACK","Funimation,Bandai Entertainment",Sunrise,Light novel,"Action,Military,Sci-Fi,Space,Romance",26 min. per ep.,PG-13,7.79,13025,31884,362,"In the distant future, humanity is under attack by the Abh Empire, a race of advanced humanoid beings possessing vastly superior technology. As countless worlds fall to the Abh, mankind establishes the Four Nations Alliance—a resistance faction made up of the United Mankind, the Republic of Greater Alcont, the Federation of Hania, and the People's Sovereign of Union Planets.

Seikai no Monshou tells the story of Jinto Linn. When he was young, his father—the president of Martine—sold their world in exchange for a high position in the empire. Now a young count, Jinto must learn the ways of Abh nobility and live among those who subjugated his people. Helping him is Lafiel Abriel, an austere Abh princess whom Jinto quickly befriends. While traveling to Jinto's new school in the Abh homeland, their ship is caught in a violent space battle between the fleets of the Alliance and the Abh. Jinto and Abriel are thrust into the conflict, unaware that this skirmish marks the beginning of a full-scale war between the Abh Empire and mankind.

[Written by MAL Rewrite]"
Taiyou no Kiba Dagram,TV,75,Finished Airing,1981-10-23,1983-3-25,Fall,-,-,-,Sunrise,-,"Mecha,Military,Drama,Sci-Fi,Shounen",23 min. per ep.,PG-13,7.79,542,2587,37,"The story is centered around a small group of guerilla freedom fighters on a colonial planet named Deployer, who are known as the ""Deployer 7"", or ""Sun Fang"" team. In an unexpected coup, the elected Governor of Deployer becomes dictator and rules Deployer under martial law with the support of Earth's Federation. Fighting for independence from Earth's Federation influence, the freedom fighters begin a rebellion against the Federation's Combat Armors using a Combat Armor of their own: the Dougram. 

(Source: AniDB)"
Toaru Majutsu no Index II,TV,24,Finished Airing,2010-10-8,2011-4-1,Fall,-,"Geneon Universal Entertainment,Square Enix,AT-X,ASCII Media Works,Delfi Sound",Funimation,J.C.Staff,Light novel,"Action,Sci-Fi,Super Power,Magic",23 min. per ep.,R,7.79,128878,234098,1430,"As tensions between the world of magic and Academy City continues to rise, Touma Kamijou and his hand of negation must face off against both esper and magician in order to protect the lives of those around him. Of course, he is not alone in his fight; whether by his side or out of sight, allies and enemies both old and new will enter the fray to help him.

Toaru Majutsu no Index II continues the story of action and comedy, as the scale of Touma and his allies' battle grows ever larger. A conflict is slowly brewing on the horizon, and magic and science will cross paths once again in the war to come.

[Written by MAL Rewrite]"
Tsuritama,TV,12,Finished Airing,2012-4-13,2012-6-29,Spring,Fridays at 01:15 (JST),"Aniplex,Dentsu,Fuji TV,tsuritama partners,Sakura Create",Sentai Filmworks,A-1 Pictures,Original,"Comedy,Sci-Fi,Slice of Life,Sports",23 min. per ep.,PG-13,7.79,41879,108419,1979,"Yuki Sanada is a socially awkward young man who lives with his grandmother. Due to her job, they must move around a lot. This means Yuki has difficulty forming lasting relationships with his peers, or relationships at all, for that matter. His fear of social interaction is so great that when asked to make a greeting or parting speech in his classes, Yuki often freezes. As if drowning, he blacks out from the present, only able to focus on his certain ridicule. However, Yuki's life changes forever when he moves to Enoshima and meets an odd boy named Haru—who claims to be an alien.

Haru wields a questionable water gun and fish bowl, and has a tendency to speak with the beta fish inside it. He immediately latches onto Yuki as a friend, completely disregarding any complaints Yuki might have about this. Haru is like a force of nature, unheeding of other people's resistance to his antics. Together, Haru and Yuki also snowball a fellow classmate and fisherman named Natsuki Usami into Haru’s schemes. What out-of-this-world adventures lie ahead for this unique bunch? Find out in Tsuritama!"
Udon no Kuni no Kiniro Kemari,TV,12,Finished Airing,2016-10-9,2016-12-25,Fall,Sundays at 01:55 (JST),"VAP,Nippon Television Network,Nippon Television Music,Nishinippon Broadcasting,Dai Nippon Printing,Shinchosha",-,LIDENFILMS,Manga,"Slice of Life,Fantasy,Seinen",22 min. per ep.,PG-13,7.79,24671,61597,305,"Taking a break from the hustle and bustle of Tokyo, Souta Tawara returns to his hometown in Kagawa. Though his parents are no longer around, his former home and family-owned udon restaurant reminds him of the times his family was still together. Reminiscing about his childhood, Souta enters the udon restaurant and discovers a grimy young boy sleeping.

At first, Souta thinks nothing of the chance encounter and provides the boy with food and clothing. However, to his surprise, the boy suddenly sprouts a furry pair of ears and a tail! Souta soon learns that the nameless boy is actually the rumored shapeshifting tanuki that has been inhabiting Kagawa for many years. Thinking that the boy has been living a lonely life, he decides to take him in and name him Poko.

Udon no Kuni no Kiniro Kemari follows the heartwarming relationship between Souta and Poko, and through the time they spend together, Souta recalls his own past, the place he left behind for the city, and the relationship he had with his father.

[Written by MAL Rewrite]"
Working!!,TV,13,Finished Airing,2010-4-4,2010-6-27,Spring,-,"Aniplex,Rakuonsha","NIS America, Inc.",A-1 Pictures,4-koma manga,"Slice of Life,Comedy,Romance",24 min. per ep.,PG-13,7.79,125540,248633,1940,"Due to his love for small, cute things, Souta Takanashi cannot turn childlike Popura Taneshima down when she recruits him to work for Wagnaria, a family restaurant located in Hokkaido. Takanashi takes particular joy in doting on the older Popura, which only fuels her complex over how young she looks. He also quickly learns he must stay on his toes once he meets the rest of his colleagues, including the katana-wielding floor chief Yachiyo Todoroki, the intimidating head chef Jun Satou, the dangerously well-informed and subtly sadistic sous chef Hiroomi Souma, the adamantly lazy manager Kyouko Shirafuji, and the waitress Mahiru Inami who has a ""painful"" fear of men.

Powered by an eccentric cast, Working!! is a unique workplace comedy that follows the never-dull happenings within the walls of Wagnaria as Takanashi and his co-workers' quirky personalities combine to create non-stop antics, shenanigans, and hilarity.

[Written by MAL Rewrite]"
Yuru Camp△ Specials,Special,3,Currently Airing,2018-3-28,2018-7-25,-,-,-,-,C-Station,Manga,"Slice of Life,Comedy",5 min. per ep.,PG-13,7.79,1034,11867,16,"Specials included in the anime's BD/DVD releases. The first disc release features ""Heya Camp Episode 0,"" a story before Nadeshiko joins the club.

(Source: ANN)"
AKB0048: Next Stage,TV,13,Finished Airing,2013-1-6,2013-3-31,Winter,-,Starchild Records,Sentai Filmworks,Satelight,Original,"Music,Sci-Fi",23 min. per ep.,PG-13,7.78,14005,26108,302,"In the year since the 77th generation understudies joined AKB0048, the Deep Galactic Trade Organization [DGTO] and DES have stepped up their attacks on entertainment. In response, AKB0048 brings back the general elections and the center nova position. The understudies are now thrusted into a new competition directly against the successors. But as AKB0048 brings back policies not seen since Acchan's disappearance, a new more powerful enemy is quietly moving behind the scenes.

(Source: ANN)"
Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,Finished Airing,1993-12-5,-,-,-,-,Viz Media,Toei Animation,Manga,"Drama,Magic,Romance,Shoujo",1 hr. 1 min.,PG-13,7.78,23136,39500,190,"When Mamoru was little he gave a rose to a little boy named Fiore. Fiore promised that one day he would bring Mamoru lots of flowers. Now Fiore has come back to earth but his intentions are not merely to fulfil a promise... 

(Source: ANN)"
Break Blade 6: Doukoku no Toride,Movie,1,Finished Airing,2011-3-26,-,-,-,-,Sentai Filmworks,"Production I.G,Xebec",Manga,"Action,Mecha,Military,Shounen",52 min.,R,7.78,27205,43725,27,Sixth and final Break Blade movie.
Change!! Getter Robo: Sekai Saigo no Hi,OVA,13,Finished Airing,1998-8-25,1999-5-25,-,-,"Bandai Visual,Marubeni,Dynamic Planning",Discotek Media,Brain's Base,-,"Action,Psychological,Adventure,Mecha,Sci-Fi,Horror,Shounen",25 min. per ep.,R,7.78,2994,7266,179,"Dr. Saotome returns from the dead after being seemingly murdered by Getter pilot Nagare Ryoma and threatens the world with his ultimate creation: the Shin Dragon. Ryoma reluctantly teams up with his former co-pilots Jin Hayato and Tomoe Mushashi to combat Dr. Saotome. The pilots must also deal with the mysterious Invaders, aliens that have the ability to possess humans and warp their flesh to form hideous creatures.

(Source: Nihon Review)"
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Movie,1,Finished Airing,2001-4-21,-,-,-,"TV Asahi,Asatsu DK",-,Shin-Ei Animation,Manga,"Sci-Fi,Comedy,Seinen",1 hr. 29 min.,G,7.78,1909,3639,19,"Adult people all over Japan had been captivated by 20th Century Expo, theme parks that reenacted good old days of the 1970s (the last days of Japan's high economic growth). One day the adults disappeared into the theme parks, leaving their children abandoned. That was a plot by 'Yesterday Once More', an organization who despises the 21st century and tries to bring Japan back to the 20th century with the dreams and hopes. Shinnosuke and his parents, Hiroshi and Misae, fight against the plot of 'Yesterday Once More' in order to live together with family in the 21st century.

(Source: Manabu Tsuribe)"
Daa! Daa! Daa!,TV,78,Finished Airing,2000-3-28,2002-2-26,Spring,Tuesdays at 18:00 (JST),-,-,J.C.Staff,Manga,"Comedy,Sci-Fi,Shoujo",25 min. per ep.,G,7.78,6551,15115,213,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. 

(Source: ANN)"
